,huc12,ps,corr
400615,20801100403,2549,0.9094071257157218
400985,20700020205,1866,0.9092210721838118
401380,20802040501,2723,0.9090260942131296
401708,20600020406,3809,0.9088570990847455
401910,20600050506,56808,0.9087597421022342
403446,20801100307,7837,0.9080246769574816
403598,20801020303,1830,0.9079475133734426
403739,20700100306,3176,0.9078706794673286
403794,20700041006,3935,0.907842803251538
403969,20700020802,2408,0.9077611199154058
404222,20600060402,2720,0.9076461513688032
405204,20700100401,56964,0.9072028633013812
405745,20501030704,1745,0.906996223187282
405807,20700100804,50561,0.9069721435734333
406134,20801090302,55233,0.9068239182808872
407323,20801060501,4259,0.906337439049516
407337,20801030703,7158,0.906329487058796
407427,20600060402,1384,0.9062845034110296
407652,20801020204,55270,0.906173301490673
408077,20501030704,1831,0.9059615788993206
408351,20700110206,56032,0.9058310441026054
408592,20700100401,2713,0.9057083539956378
408626,20700030405,55377,0.9056949143168771
408811,20700100306,3954,0.90559158932745
408909,20801050104,7318,0.9055403884713114
408966,20503050107,1695,0.9055126315360332
408986,20801090501,1364,0.905505180681572
409225,20503061204,2549,0.9054449099079288
409359,20503061107,7835,0.9053876931499552
409757,20700030405,50497,0.9052779877532052
410284,20801100603,55938,0.9050518476741071
410951,20501030704,594,0.9047094140479656
411410,20501030704,3140,0.9044898503240416
411802,20600060402,3113,0.9043018474778552
412063,20801060501,56292,0.904189961144212
412243,20700041106,2408,0.9041178391344118
412404,20700020205,8042,0.9040343701312866
412423,20600020406,54915,0.9040255735849264
412724,20801080104,1552,0.9038799026204918
412970,20600020204,1745,0.9037663441590508
412989,20802040501,2480,0.9037527619983156
413713,20600050508,55938,0.9034542581607224
414153,20700020801,2403,0.9032379718865922
415100,20801060501,3403,0.9028191842325723
415569,20801020204,55081,0.9025859132712636
415748,20502061103,7763,0.9024917713038504
415956,20600020409,3122,0.9023773347208058
416485,20700100307,2403,0.9021084423949752
416509,20700100102,4259,0.9020947147113332
416562,20600020406,55231,0.9020698746360214
416882,20700100401,55699,0.901907071660922
417013,20801060402,10190,0.9018537418738936
418007,20503030802,3954,0.9014229499830462
418053,20801060403,2709,0.9013889283131628
418084,20801060501,54634,0.9013733800999371
418131,20600020406,55397,0.9013464038281892
418220,20600060402,3405,0.9012986831658938
418333,20501030704,3796,0.9012345745477176
418823,20600020406,1040,0.901179451832702
418844,20700020204,55224,0.901171857063514
418914,20502050607,6113,0.9011431105649588
419024,20802040501,10774,0.901085431653878
419535,20700110206,6264,0.900818705912504
419571,20600060403,3796,0.9008010539208297
419947,20801090501,1001,0.9006895896744689
420035,20501030704,1552,0.9006480899394257
420202,20700100804,55349,0.9005774284815505
420303,20502010709,55377,0.900528008384287
420540,20600060402,2549,0.9004076737362542
420669,20700030405,8226,0.9003363033788604
422136,20600020406,3406,0.9003272537643606
422509,20503050406,1382,0.9001504664447356
422520,20801090501,6639,0.9001435327914591
422889,20700040409,55224,0.8999989920040109
423117,20700081004,2727,0.8998917381949744
423415,20802060906,1723,0.8997243628915531
423427,20501050607,1552,0.8997205876663514
423615,20801090302,55248,0.8996502475807746
423628,20600020206,55224,0.8996475617088804
423805,20700041006,50292,0.8995691674115017
423809,20700030405,50385,0.8995686013318742
423900,20700100804,2713,0.8995302798607017
424042,20801050604,58427,0.8994598512082983
424741,20700100401,50561,0.8992880459745121
424746,20801090302,2850,0.8992853470695296
425629,20801100403,1830,0.8988308252125018
425850,20600020204,3118,0.8987513504062852
426176,20700020204,3403,0.8986058993218211
426608,20700100401,55101,0.8983920178467033
427196,20700030405,55262,0.8981035967561367
427259,20600050506,3393,0.898067496821658
427380,20503010405,1723,0.8980002854091433
427396,20801090501,2847,0.8979896989853392
427494,20700100401,54574,0.8979343759322783
427567,20801030502,1010,0.8978968522741999
427707,20700020302,50497,0.8978238595598784
429312,20801100307,50006,0.897756467152318
430681,20801060601,55976,0.8973077169345871
431029,20700020205,2434,0.8971368078749983
431143,20700100401,55347,0.8970812968725618
431316,20801060601,50879,0.8969912273105461
431637,20801030703,1830,0.8969356483209139
431758,20503051010,1353,0.8968847861968761
432126,20502061103,2682,0.896702575718482
432311,20802040501,55375,0.896616706924189
432760,20503051010,991,0.8964129617951166
433015,20801090501,6034,0.8963016618374022
433107,20801090302,6166,0.8962541908464183
433788,20600060402,6213,0.8959200313139882
433805,20600040401,1830,0.8959108295583672
433853,20700110206,50450,0.8958757547842978
434083,20600020204,3149,0.8957723761547063
434294,20501030704,1554,0.8956672799858965
434411,20700020207,2408,0.8956001049535572
434451,20700030106,55285,0.8955789978385499
434843,20700030405,54634,0.8953824659419188
434889,20503061204,2403,0.8953558660207729
435098,20700040305,8226,0.8953163957371414
435159,20502050607,6041,0.8952818592729435
435236,20700081004,54034,0.8952372422277465
435527,20700100401,56032,0.8951036592165035
435531,20700041006,3796,0.8950995683688932
435596,20503050802,2832,0.8950722149791033
436220,20700041006,55193,0.8948969519140122
436495,20700030405,3954,0.8947760114625027
436499,20503041204,54634,0.8947732859408435
436583,20801040102,6031,0.8947383053329571
436879,20502010709,55233,0.8946584924125922
437365,20802010204,10099,0.8944264941013983
437471,20503050802,7835,0.8943729203141305
437970,20600050506,55285,0.8941265871391604
438220,20600020204,6166,0.8940307201277733
438588,20600050506,6031,0.893927974226125
438798,20801100405,55101,0.893845004800558
438846,20700020507,55148,0.8938255053738486
438895,20700090704,4259,0.8938054575831995
439873,20600050508,1010,0.8933663697168576
439939,20700110206,55699,0.893343262310071
439989,20600030105,56259,0.893313439973904
439994,20600031101,1720,0.8933100285154492
440078,20600050506,50555,0.8932577189638691
440131,20600050503,2408,0.8932370704181647
440196,20801060501,55348,0.8932045614658515
440602,20600020204,55233,0.8930071041003357
440669,20700040102,50497,0.8929780027093793
441112,20801100305,6137,0.8927865557764612
441388,20600020204,1571,0.8926527179617266
441705,20502061103,10751,0.8925043207428004
441731,20501050607,2408,0.8924978060032353
442017,20503060707,55690,0.8923593636982272
442333,20503020305,55524,0.8922071905708935
442527,20700020205,1384,0.8921249331902993
443094,20700100102,2549,0.8918533670090139
443869,20600040401,55801,0.8915469205278076
444356,20600020207,2721,0.8913479668548656
444428,20501030704,2720,0.8913175999859008
444455,20700020402,55347,0.8913071503078416
446943,20802010204,10113,0.8908594120991941
447366,20700100804,54574,0.8906798158997979
447433,20600050503,1695,0.8906490915656179
448433,20801100403,995,0.8903458261098628
448829,20503050107,55262,0.8901847386776952
448895,20700020205,3796,0.890152604625254
449904,20600020406,2480,0.8898701607440717
450228,20501030704,2490,0.8897263019652909
450534,20600040101,2408,0.8895780464932466
450880,20502040407,1843,0.8894212883900633
451158,20801100102,7835,0.8892988413428172
451460,20600020406,1866,0.8891935587943859
453126,20801020303,55938,0.8891197663283757
453182,20503030802,54634,0.889098526971628
453540,20802040501,3176,0.8889422961013347
454311,20700110206,6018,0.8887269420456361
454491,20600060402,2516,0.8886427765619033
454523,20801090302,1745,0.8886277914800077
454831,20801040703,1010,0.8884960750957822
454840,20700110102,1010,0.8884929309882942
454924,20801100503,56397,0.8884577090795492
455094,20600060402,55502,0.8883878954499344
455101,20502010709,52019,0.8883840548243903
461544,20801100403,2403,0.8876784012396245
461708,20700041106,56259,0.8876049594256039
461923,20600060402,3775,0.8875043946512063
462681,20600020609,55801,0.8871723292473475
462957,20501030704,6213,0.8870524955866597
465163,20801100405,55938,0.8867086564473557
465700,20502010709,55224,0.8864773200927135
466070,20503061304,56032,0.8863030080808421
466732,20503030802,7213,0.8860389313133169
466881,20801030703,6031,0.8859657011099641
467725,20802060101,54592,0.8857237186485359
467787,20801060503,7277,0.8856966603921721
468217,20700100804,55347,0.8855486045706328
468334,20801080104,2378,0.8854956100695021
468362,20700100804,55239,0.8854819294411064
468407,20802070704,6031,0.8854590386362248
468558,20700040305,52019,0.885384862580302
468922,20700020205,1745,0.8852177099869257
469477,20600060402,1866,0.8849858037682308
469948,20700041006,54915,0.8847951983873817
470242,20802040501,3405,0.8846596684389629
470567,20503051010,2718,0.8845049985219686
470908,20600060402,2878,0.8844242675963959
470920,20600031101,50039,0.884419477399205
470931,20502061103,3136,0.8844125661827004
471030,20503030802,55164,0.8843710407522727
471327,20801100403,1866,0.8842238162388035
472281,20700110206,1366,0.8838205778368736
472302,20700040102,8226,0.8838115363994548
472318,20801031002,1010,0.8838027397121878
472384,20600020405,54547,0.8837622146762654
472563,20600060402,2709,0.8836826323775218
472641,20802080205,54076,0.883648708351411
472651,20801060601,1553,0.8836463009163751
472652,20700040806,55710,0.8836460776101712
472849,20600020203,1720,0.8835541860885814
473033,20801040104,7314,0.8835308111264216
473329,20700020205,2713,0.8834043497358266
473361,20600030703,50385,0.8833907121648499
473689,20700020801,2408,0.8832339745634447
473873,20801040104,55938,0.8831610195033078
473878,20700030405,2850,0.88315693413697
474218,20801040104,55801,0.8830038217056242
474284,20801080104,3796,0.8829739018398822
474407,20502040407,56032,0.8829045970287317
474437,20600030902,2832,0.882891615183851
475014,20700110206,1382,0.8827768320743039
475042,20501030704,2709,0.8827615628079359
475310,20503010405,10030,0.8826255504411129
475382,20501030704,3405,0.882590950442792
475550,20700020205,1355,0.8825160429141977
475765,20501050307,2504,0.8824286158020119
476425,20600050503,2403,0.8821484132806361
476610,20802060804,10773,0.8820521365630183
477198,20700030405,10308,0.8818078108203379
477244,20501030704,55710,0.8817835187645362
477553,20600050506,55248,0.8816462061461741
478470,20503061107,50451,0.8812244510807389
478487,20600020207,50385,0.8812175845984079
478521,20600060604,56397,0.8812003042580707
478558,20600031101,55381,0.881182814427033
478850,20801030502,2516,0.8810947916798758
479064,20700040806,1010,0.8810049212800146
479254,20700100102,2403,0.8809323949621305
479363,20503030802,55377,0.8808804667810721
479496,20801100102,2500,0.8808174762283946
479663,20700110206,54593,0.8807424598616919
480179,20600030703,3149,0.8804948188354753
480221,20801020303,56397,0.880474436527082
480267,20503051011,55439,0.8804537641673035
480295,20700041009,50292,0.8804441920584029
480386,20502040407,55938,0.8803933294500419
480468,20502061103,2850,0.8803591340880067
481276,20600020206,55262,0.8799721476742637
481607,20503030802,3149,0.8798029765275572
481805,20801090302,7836,0.8797149459365051
482053,20503051010,2403,0.8796048101511059
482128,20502050607,6213,0.8795710469360035
482355,20600060402,2713,0.8794756287497423
482488,20600020207,2539,0.8794033874470146
483024,20502010709,3393,0.8791558902417745
483089,20802010605,7318,0.8791178425620662
483117,20700081003,2549,0.8791092200036654
483250,20700110206,55101,0.8790529450348417
484628,20802060201,50039,0.8784245636199429
485578,20700020205,1831,0.8779667675782764
485644,20501030704,3113,0.877930266962207
485668,20600060403,55231,0.8779218465182201
485688,20600030703,55262,0.8779110512761091
485762,20801090501,6705,0.8778781019594022
486447,20700020205,3406,0.8775647582136917
486638,20503030802,3136,0.8774826467643477
486859,20802040501,594,0.8773932389790817
486970,20700020207,56259,0.8773453570813902
487228,20801060501,55701,0.877271564182452
487298,20600020204,10725,0.8772502598820107
487663,20600060506,2549,0.8770989310385143
487858,20600020406,1379,0.8770282772707442
490571,20503051010,2378,0.8770016129196221
490677,20700110206,55284,0.8769709616338348
490737,20700081003,1723,0.8769507307821632
492411,20700041006,2378,0.8769169937384474
492620,20501030704,3809,0.8768186352740597
492655,20700080102,55377,0.8768051794385836
492659,20700040409,55111,0.8768042848083415
493161,20700100803,57029,0.8765867011385734
493342,20700030405,2682,0.8765282887026278
493747,20700030405,55233,0.8763341018995515
493902,20600060402,55231,0.8762622394176324
494270,20700100102,1830,0.8760736079534476
494356,20503050406,1695,0.8760315300434068
494469,20501030704,1010,0.8759863144413795
494908,20700110206,8042,0.8757685772022692
495115,20503030802,55262,0.8756893976156049
495184,20802010204,3954,0.8756550554696505
495201,20503020506,1010,0.8756453684151637
495563,20700100804,8006,0.8754586864706067
495719,20600020204,3140,0.8753878413690712
495906,20801100503,2408,0.8752964713523693
496304,20501050607,2480,0.8751576664479824
496490,20600020409,52007,0.8750437766256043
496721,20501071003,3138,0.8750315366856596
497095,20600060603,56397,0.8748564475422633
497128,20600020411,2549,0.8748435808336547
497522,20600020204,54574,0.8747202132482382
497758,20700110206,55337,0.8746113537835036
498030,20801090302,50006,0.8744788820052143
498122,20700080803,1733,0.8744305752292397
498405,20700100803,55401,0.8743287375523896
498598,20501050607,3775,0.8742521409905398
498666,20600031102,1720,0.874220973863071
498805,20503051010,1010,0.8741652889541301
498809,20801100503,2403,0.8741648118286495
498971,20600060604,55801,0.8740937819239315
498989,20801100404,7158,0.8740873751412889
499291,20700030405,50799,0.8739434705625648
499394,20801100403,991,0.8739007368138973
500270,20600060402,1830,0.8736419365445052
500456,20801060601,10620,0.8735631574219206
500944,20600020203,2549,0.8733252550354751
500997,20802080303,2408,0.8732994369437521
501011,20700100401,994,0.8732945738036259
501092,20700110206,50039,0.8732563076575272
501188,20801100403,594,0.8732115032319444
501313,20801090302,55654,0.8731625987444727
501499,20700030106,7314,0.8730690894073393
501851,20600030602,2706,0.8729822266797218
501900,20700030106,55377,0.8729570388046671
502047,20801080104,2549,0.8728962710137464
502436,20801060501,54547,0.8727056487039576
502549,20600020204,50888,0.8726585509979502
502899,20801050301,2720,0.8724850160092517
502903,20801060601,7288,0.8724815385558379
502940,20700100401,6035,0.8724692775742523
503085,20801100307,54574,0.8724044031081482
503266,20600060402,50292,0.8723183558502794
503409,20503061107,1556,0.8722873416640915
503413,20600020406,1552,0.8722858933265665
503638,20802060906,1695,0.8721904499673458
503673,20700110102,1353,0.8721651511713846
504196,20801090501,1743,0.8720203385702225
506463,20503030802,50385,0.8716687281579012
506734,20801100102,56397,0.8715275149366375
506792,20503051010,55701,0.8714921583090004
506890,20801061101,54593,0.8714480181795697
507207,20600040101,1830,0.8713184101271692
507711,20700100804,55381,0.8711019693898331
508067,20801040102,1830,0.8709367408485654
508164,20600050506,2625,0.8708958918008632
509081,20600060402,55193,0.8706388044116912
510579,20501030704,1379,0.8706175383002991
510831,20700110106,55262,0.8704950067720423
510944,20801090302,3954,0.8704423674947644
511073,20700041106,2403,0.8703828505939303
511347,20600031101,55193,0.8702399819037346
511618,20700110104,55229,0.8701067877703144
511888,20600060402,2403,0.8700044977396056
512451,20501030704,1830,0.8697680216872608
512486,20801090302,10308,0.8697482826106265
513360,20700100804,1720,0.869556878908364
513385,20700040305,55262,0.8695486502066893
513679,20802071002,55348,0.8694053546841644
513819,20801020303,1010,0.8693388706814396
513952,20700100803,52007,0.8692772606297448
514029,20700020403,50292,0.8692409451612292
514083,20503050802,2500,0.8692228996259853
514194,20802060704,50458,0.8691670631948751
514224,20503060707,1728,0.8691536001570102
514533,20801050104,54634,0.8690071262733169
514893,20801090302,1743,0.8688864369866265
515165,20700111001,55801,0.868767014466058
515416,20801100403,2535,0.8686308446954227
515491,20700020402,50292,0.8685912512662569
515507,20700090503,1720,0.8685834156985307
515590,20600020204,1378,0.8685432462586151
515781,20503030802,55276,0.868435993944978
515870,20700041006,55198,0.8683877462585959
515959,20801090302,1355,0.8683432838403767
516032,20801090501,55654,0.868311220962809
516094,20801040303,1553,0.8682884274130703
516118,20600020406,991,0.8682768391846423
516269,20600020204,983,0.8681857508021528
516342,20700110206,10190,0.8681512760628961
516349,20600060601,2408,0.8681475019606372
516374,20700111001,56397,0.8681353199697607
516378,20700100401,1843,0.8681331828105758
516413,20502061103,1378,0.8681194149444026
516812,20600060403,2480,0.8679279934096498
517276,20801100403,2480,0.8677330250470772
517350,20503030802,3403,0.8676905870516227
517427,20700020507,7318,0.8676623014400534
517436,20501011312,2721,0.8676565226281395
517446,20501030704,2828,0.8676520818848861
517688,20700081003,1695,0.8675128693303107
517746,20600050508,56397,0.8674910922448165
517772,20801090302,55088,0.8674748033245073
518256,20802020105,55348,0.8673042292879702
518357,20502061207,3403,0.8672827797983289
518360,20801090501,994,0.8672815089152793
518369,20700020205,2706,0.8672757788686051
518926,20600060402,55710,0.8670047491816989
519263,20501030704,6082,0.8668425996813128
519285,20501030704,3775,0.8668334397901791
519448,20502061103,2378,0.8667722452592321
519457,20801040201,7869,0.8667688838460159
519671,20801050104,55262,0.8666472464841952
519845,20700041006,1866,0.8665573349728783
519999,20600060202,54,0.8664802097440908
520045,20700030106,55164,0.8664602037720572
520271,20700110206,1552,0.8663337166390429
520359,20700040409,995,0.8662906326317809
520378,20801100403,3113,0.8662851379033899
520505,20503050107,3403,0.8662177656693847
521409,20700030405,3118,0.8657853970313306
521427,20501030704,3138,0.8657782033478952
521434,20801030703,55938,0.8657751821956515
521527,20700020403,55347,0.8657249335226544
521532,20802040501,2516,0.865722617728016
521547,20801090501,6094,0.8657137236941921
521629,20801100403,2378,0.8656723361850424
521972,20502040407,6018,0.8655027477793519
522369,20802040501,55397,0.8652813374501043
522547,20700040305,54034,0.8651901597248446
522693,20600060401,55377,0.8651243885418625
523095,20600060604,55938,0.8649238142668499
523295,20600020406,8042,0.8648189055484962
523474,20700020207,3796,0.8647897012687034
523947,20503061204,50451,0.8646702231383848
524347,20801010000,2549,0.864475058808684
524481,20700020207,2403,0.8644136280131473
525292,20700040806,2878,0.8641648013435793
525315,20600060402,3406,0.8641524327484105
525436,20700020205,602,0.8640902603223897
525689,20700040807,50451,0.8639624917010681
525874,20600020406,2720,0.8638797610187248
526866,20600050506,55276,0.8633973404574777
527045,20700020204,55262,0.8633056051860748
527556,20801050104,55439,0.8630694029210635
527692,20700080803,3935,0.8630140765764632
527962,20700100306,3149,0.8628961668679571
527975,20801100307,7836,0.8628885257541175
528155,20600020406,3797,0.8628030821830096
528157,20801050205,7838,0.8628022959917436
528539,20503060707,1831,0.8625873728051411
528558,20503050406,3403,0.8625810457214629
528588,20503051011,54634,0.8625690416876287
528665,20700030405,54034,0.862527285798796
528694,20700041006,55502,0.8625163233142893
528894,20600031101,1010,0.8624187885468094
528923,20801060501,55690,0.8624043874015985
529546,20700080803,57029,0.8621028290193715
529568,20600020206,55401,0.8620883656086424
529615,20802040501,55516,0.8620695357265727
529666,20700040102,10751,0.8620487158350237
529919,20802010204,50966,0.8619372786580366
530275,20700030106,56397,0.8617613768214135
530308,20801090302,3796,0.861745507913067
530331,20502050607,3138,0.8617355219766085
530446,20700081003,2408,0.8616805439150854
530483,20801100307,2434,0.8616646525017335
530490,20700110104,58427,0.8616599912656228
530813,20801110704,2832,0.8615061577347867
530838,20600060402,2378,0.8614864735886284
532312,20503061107,2549,0.8614784853544694
532413,20700030405,7763,0.8614237303656809
532577,20801100206,1832,0.8613365684009934
532725,20600020406,602,0.8612737532027991
532856,20801020204,55087,0.8612190542777721
532862,20700110104,2549,0.8612170028459014
532908,20501030704,3161,0.861194751289175
533714,20700100307,2408,0.8610022126841936
533782,20600060403,6213,0.8609714885301709
533910,20502061103,8226,0.8609071613615171
534229,20801100403,3796,0.8607769957968442
534236,20600050506,1720,0.860775439415805
534683,20502010709,3954,0.8607393942639295
534911,20600030902,55524,0.8606377514942428
535434,20801030502,55264,0.8604011140451533
